CS?,Attribute Collection Name,Type,Description,Spec Name,Attribute Path

,HierAttColl_000_Generique_FULL,FULL_SPEC,,SpecHier_000_Generique,

,HierAttColl_000_Generique,GENERAL,,SpecHier_000_Generique,Clé
,HierAttColl_000_Generique,GENERAL,,SpecHier_000_Generique,Libellé

,CtgAttColl_NewRef_Agent_FULL,FULL_SPEC,,SpecCtg_NewRef_Agent

,CtgAttColl_NewRef_Agent_General,GENERAL,,SpecCtg_NewRef_Agent,ID_AGENT
,CtgAttColl_NewRef_Agent_General,GENERAL,,SpecCtg_NewRef_Agent,FAMILLE

,CtgAttColl_NewRef_Etablissement_FULL,FULL_SPEC,,SpecCtg_NewRef_Etablissement

,CtgAttColl_NewRef_Etablissement_General,GENERAL,,SpecCtg_NewRef_Etablissement,ID_ETABLISSEMENT
,CtgAttColl_NewRef_Etablissement_General,GENERAL,,SpecCtg_NewRef_Etablissement,LIB_COURT_ETABLISSEMENT
